,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club
0,https://www.transfermarkt.com/iker-casillas/profil/spieler/3979,Iker Casillas,"May 20, 1981",['Móstoles'],['Spain'],['Spain'],"1,82",left,380amk,adidas,Goalkeeper,,
1,https://www.transfermarkt.com/diego-lopez/profil/spieler/34370,Diego López,"Nov 3, 1981",['Paradela'],['Spain'],['Spain'],"1,96",right,Manuel García Quilón,,Goalkeeper,,
2,https://www.transfermarkt.com/antonio-adan/profil/spieler/44062,Antonio Adán,"May 13, 1987",['Madrid'],['Spain'],['Spain'],"1,90",left,Gesport Espizua SL,,Goalkeeper,,['1995-1997: CDEF Mejorada\r\n1997-2002: Real Madrid CF']
3,https://www.transfermarkt.com/jesus-fernandez/profil/spieler/91885,Jesús Fernández,"Jun 11, 1988",['Madrid'],['Spain'],['Spain'],"1,90",left,RSWORLDWIDE,,Goalkeeper,,
4,https://www.transfermarkt.com/sergio-ramos/profil/spieler/25557,Sergio Ramos,"Mar 30, 1986",['Camas'],['Spain'],['Spain'],"1,84",right,RR-Soccer Management Agency,Mizuno,Centre-Back,['Right-Back'],"['Camas CF (1992-1996)', ' Sevilla FC (1996-2003)']"
5,https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,Raphaël Varane,"Apr 25, 1993",['Lille'],['France'],"['France', 'Martinique']","1,91",right,CAA Base Ltd,Puma,Centre-Back,,"['AS Hellemmes (2000-2002)', ' RC Lens (2002-2010)']"
6,https://www.transfermarkt.com/pepe/profil/spieler/14132,Pepe,"Feb 26, 1983",['Maceió'],['Brazil'],"['Portugal', 'Brazil']","1,87",right,Gestifute,Umbro,Centre-Back,['Defensive Midfield'],['Corinthians Alagoano (1995–2001)']
7,https://www.transfermarkt.com/raul-albiol/profil/spieler/15452,Raúl Albiol,"Sep 4, 1985",['Vilamarxant'],['Spain'],['Spain'],"1,90",right,Football Capital,,Centre-Back,,
8,https://www.transfermarkt.com/nacho-fernandez/profil/spieler/58884,Nacho Fernández,"Jan 18, 1990",['Madrid'],['Spain'],['Spain'],"1,80",right,Niagara Sports Company,,Centre-Back,"['Right-Back', 'Left-Back']",['AD Complutense (1999-2001)']
9,https://www.transfermarkt.com/ricardo-carvalho/profil/spieler/9828,Ricardo Carvalho,"May 18, 1978",['Amarante'],['Portugal'],['Portugal'],"1,82",right,Gestifute,,Centre-Back,,"['Amarante FC', ' FC Porto']"
10,https://www.transfermarkt.com/diego-llorente/profil/spieler/246291,Diego Llorente,"Aug 16, 1993",['Madrid'],['Spain'],['Spain'],"1,86",right,Gelu Rodríguez,,Centre-Back,"['Right-Back', 'Defensive Midfield']","['Perez Galdós (2000–01)', ' Trabenco (2001–02)', '']"
11,https://www.transfermarkt.com/marcelo/profil/spieler/44501,Marcelo,"May 12, 1988",['Rio de Janeiro'],['Brazil'],"['Brazil', 'Spain']","1,74",left,Relatives,adidas,Left-Back,['Left Midfield'],
12,https://www.transfermarkt.com/fabio-coentrao/profil/spieler/33648,Fábio Coentrão,"Mar 11, 1988",['Vila do Conde'],['Portugal'],['Portugal'],"1,79",left,Gestifute,Nike,Left-Back,"['Left Winger', 'Right Winger']",['Rio Ave FC (1999-06)']
13,https://www.transfermarkt.com/alvaro-arbeloa/profil/spieler/28260,Álvaro Arbeloa,"Jan 17, 1983",['Salamanca'],['Spain'],['Spain'],"1,84",right,Manuel García Quilón,,Right-Back,['Left-Back'],['Real Zaragoza']
14,https://www.transfermarkt.com/xabi-alonso/profil/spieler/7476,Xabi Alonso,"Nov 25, 1981",['Tolosa'],['Spain'],['Spain'],"1,83",right,,adidas,Defensive Midfield,['Central Midfield'],['Antiguoko (1990–1999)']
